phase_id,config_path,experiment_name,val_balanced_accuracy,val_macro_f1,val_weighted_f1,val_ece,best_epoch,tested,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_ece
A3,configs/phase1/train_pattern3_phase1_A3_ordinal_aux.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__ordinalaux_v1__phase1_A3__holdout_v1__seed42,0.7380261248185777,0.7385533419079368,0.8120304624590358,0.1598680278040328,12,True,0.7544645959280105,0.7641252363474585,0.8296297841050927,0.13311450155796828
A0,configs/phase1/train_pattern3_phase1_A0_baseline.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__phase1_A0_baseline__holdout_v1__seed42,0.726795217361255,0.7295860064604948,0.8195438198748748,0.17008001005874487,9,True,0.7709679660899172,0.7522299775227731,0.8091466540478726,0.145810267439595
A4,configs/phase1/train_pattern3_phase1_A4_logit_adjusted.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__logitadj_tau10__phase1_A4__holdout_v1__seed42,0.7086645011173314,0.6646357851145029,0.7448765074357991,0.15848998134990908,5,False,,,,
A5,configs/phase1/train_pattern3_phase1_A5_class_balanced_focal.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__cbfocal_v1__phase1_A5__holdout_v1__seed42,0.707017301356924,0.7090399312621535,0.8176945346756668,0.11231289719635587,11,False,,,,
A1,configs/phase1/train_pattern3_phase1_A1_multiscale.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__multiscale_v1__phase1_A1__holdout_v1__seed42,0.6988273780726612,0.6561373866441386,0.7313976340937172,0.1854641341938163,6,False,,,,
A6,configs/phase1/train_pattern3_phase1_A6_multiscale_ordinal_smooth.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__multiscale_v1__ordinalaux_v1__labelsmooth_eps005__phase1_A6__holdout_v1__seed42,0.6929066740387495,0.6185013981624151,0.6925959305236569,0.2663040273594406,7,False,,,,
A2,configs/phase1/train_pattern3_phase1_A2_label_smoothing.yaml,pattern3__convnextv2_tiny__cornea_crop_scale_v1__augplus_v2__weighted_sampler_tempered__labelsmooth_eps005__phase1_A2__holdout_v1__seed42,0.6714124449973506,0.6266924564796905,0.6954247411894943,0.1269984169388717,3,False,,,,
