experiment_name,label,role,severity_head_type,sampler_weight_power,extent_distance_weight,severity_test_accuracy,severity_test_balanced_accuracy,severity_test_macro_f1,severity_test_weighted_f1,severity_worst_recall,severity_top_confusion,pattern_test_accuracy,pattern_test_balanced_accuracy,pattern_test_macro_f1,pattern_test_weighted_f1,pattern_worst_recall,pattern_top_confusion,pattern_test_delta_vs_official_single_ba,pattern_test_delta_vs_best_rule_ba,severity_test_delta_vs_base_ba,severity_test_delta_vs_hier_ref_ba,passes_validation_guardrail,within_test_pattern_margin,selected_role,rank,decision
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_tempered_v1__holdout_v1__seed42,Sampler Sweep,unrestricted,structured3head,0.5,0.0,0.5833333333333334,0.6108918987988756,0.55424317617866,0.5728885212756181,0.2,ulcer_geq_75pct->ulcer_leq_50pct (11),0.8888888888888888,0.8538206749588864,0.8799730665640632,0.8875320636142107,0.7692307692307693,point_flaky_mixed->point_like (7),0.0056285178236398226,-0.0025015634771731188,0.1523662721831625,0.008792912513842843,False,True,False,1,severity_improving_but_guardrail_rejected
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_ordinal_v1__holdout_v1__seed42,Model C,unrestricted,structured3head_ordinal,1.0,0.2,0.5370370370370371,0.5789896924780645,0.4883400752253211,0.5165537761166176,0.06666666666666667,ulcer_geq_75pct->ulcer_leq_50pct (10),0.8333333333333334,0.7914437264030759,0.7992224231464737,0.8310324157792512,0.6923076923076923,point_flaky_mixed->point_like (8),-0.05674843073217062,-0.06487851203298356,0.12046406586235142,-0.023109293806968245,False,False,False,2,severity_improving_but_guardrail_rejected
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_v1__holdout_v1__seed42,Model B,safe,structured3head,1.0,0.0,0.5092592592592593,0.5784053156146178,0.4791711095921622,0.49325894703087675,0.13333333333333333,ulcer_geq_75pct->ulcer_leq_50pct (10),0.8333333333333334,0.8109119125379288,0.8123079262319769,0.8319712117180471,0.7560975609756098,point_flaky_mixed->point_like (8),-0.03728024459731771,-0.045410325898130655,0.11987968899890472,-0.023693670670414946,True,False,True,3,selected_by_val_guardrail_but_test_pattern_regressed
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_v1__holdout_v1__seed42,Model B,unrestricted,structured3head,1.0,0.0,0.5185185185185185,0.5670159298066275,0.5142684004697735,0.5080532674502503,0.06666666666666667,ulcer_geq_75pct->ulcer_leq_50pct (20),0.8518518518518519,0.8232575915502744,0.8325088873761439,0.8493806150148333,0.7560975609756098,point_flaky_mixed->point_like (8),-0.02493456558497209,-0.03306464688578503,0.1084903031909144,-0.03508305647840526,False,False,False,4,severity_improving_but_guardrail_rejected
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_tempered_v1__holdout_v1__seed42,Sampler Sweep,safe,structured3head,0.5,0.0,0.4537037037037037,0.512323025811398,0.3850100430416069,0.4114660715234603,0.0,ulcer_leq_50pct->ulcer_geq_75pct (14),0.8611111111111112,0.8313876728510875,0.8487049276228172,0.8591841299871247,0.7692307692307693,point_flaky_mixed->point_like (8),-0.016804484284159038,-0.02493456558497198,0.05379739919568488,-0.08977596047363479,True,True,True,5,eligible_under_guardrail
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_ordinal_v1__holdout_v1__seed42,Model C,safe,structured3head_ordinal,1.0,0.2,0.4166666666666667,0.4876360848453872,0.3549978947645968,0.38670459844019406,0.06666666666666667,ulcer_leq_50pct->ulcer_geq_75pct (12),0.8425925925925926,0.8365529381789544,0.8308564975231642,0.8412778875741839,0.7560975609756098,point_flaky_mixed->point_like (8),-0.011639218956292163,-0.019769300257105105,0.029110458229674063,-0.1144629014396456,True,True,True,6,eligible_under_guardrail
severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_flat5_v1__holdout_v1__seed42,Model A,unrestricted,flat5,1.0,0.0,0.2962962962962963,0.46189965073686007,0.30918326118326117,0.2697044519266742,0.13333333333333333,ulcer_leq_50pct->no_ulcer (14),0.8518518518518519,0.8096611307993422,0.8304050246611077,0.851063406940285,0.6923076923076923,point_flaky_mixed->point_like (6),-0.03853102633590433,-0.04666110763671727,0.003374024121146957,-0.1401993355481727,False,False,True,7,selected_by_val_guardrail_but_test_pattern_regressed
