label,experiment_name,family,severity_head_type,sampler_weight_power,extent_distance_weight,selected_role,safe_checkpoint_exists,unrestricted_val_severity_ba,unrestricted_val_pattern_ba,unrestricted_val_guardrail_pass,safe_val_severity_ba,safe_val_pattern_ba,selected_test_severity_accuracy,selected_test_severity_ba,selected_test_severity_macro_f1,selected_test_severity_weighted_f1,selected_test_severity_worst_recall,selected_test_severity_top_confusion,selected_test_pattern_accuracy,selected_test_pattern_ba,selected_test_pattern_macro_f1,selected_test_pattern_weighted_f1,selected_test_pattern_worst_recall,selected_test_pattern_top_confusion,selected_test_pattern_delta_vs_official_single_ba,selected_test_pattern_delta_vs_best_rule_ba,selected_test_severity_delta_vs_base_ba,selected_test_severity_delta_vs_hier_ref_ba,selected_test_pattern_within_margin
Model A,severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_flat5_v1__holdout_v1__seed42,severity_first_flat5,flat5,1.0,0.0,unrestricted,False,0.4881196581196581,0.6728868615661069,False,-inf,-inf,0.2962962962962963,0.46189965073686007,0.30918326118326117,0.2697044519266742,0.13333333333333333,ulcer_leq_50pct->no_ulcer (14),0.8518518518518519,0.8096611307993422,0.8304050246611077,0.851063406940285,0.6923076923076923,point_flaky_mixed->point_like (6),-0.03853102633590433,-0.04666110763671727,0.003374024121146957,-0.1401993355481727,False
Model B,severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_v1__holdout_v1__seed42,severity_first_structured3head,structured3head,1.0,0.0,safe,True,0.551965811965812,0.6575667519063746,False,0.5341880341880342,0.7119013062409288,0.5092592592592593,0.5784053156146178,0.4791711095921622,0.49325894703087675,0.13333333333333333,ulcer_geq_75pct->ulcer_leq_50pct (10),0.8333333333333334,0.8109119125379288,0.8123079262319769,0.8319712117180471,0.7560975609756098,point_flaky_mixed->point_like (8),-0.03728024459731771,-0.045410325898130655,0.11987968899890472,-0.023693670670414946,False
Model C,severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_ordinal_v1__holdout_v1__seed42,severity_first_structured3head_ordinal,structured3head_ordinal,1.0,0.2,safe,True,0.5422222222222223,0.7051857995254222,False,0.5181196581196581,0.7308268251664477,0.4166666666666667,0.4876360848453872,0.3549978947645968,0.38670459844019406,0.06666666666666667,ulcer_leq_50pct->ulcer_geq_75pct (12),0.8425925925925926,0.8365529381789544,0.8308564975231642,0.8412778875741839,0.7560975609756098,point_flaky_mixed->point_like (8),-0.011639218956292163,-0.019769300257105105,0.029110458229674063,-0.1144629014396456,True
Sampler Sweep,severity5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__severity_first_structured3head_tempered_v1__holdout_v1__seed42,severity_first_structured3head_tempered,structured3head,0.5,0.0,safe,True,0.5585470085470086,0.6656875619139769,False,0.5043589743589744,0.7155643099039325,0.4537037037037037,0.512323025811398,0.3850100430416069,0.4114660715234603,0.0,ulcer_leq_50pct->ulcer_geq_75pct (14),0.8611111111111112,0.8313876728510875,0.8487049276228172,0.8591841299871247,0.7692307692307693,point_flaky_mixed->point_like (8),-0.016804484284159038,-0.02493456558497198,0.05379739919568488,-0.08977596047363479,True
