experiment_tag,experiment_name,best_val_unrestricted_tg_ba,best_val_unrestricted_tg_macro_f1,best_val_unrestricted_pattern_ba,guardrail_valid,best_val_guardrail_tg_ba,best_val_guardrail_pattern_ba,test_unrestricted_tg_ba,test_unrestricted_pattern_ba,test_guardrail_tg_ba,test_guardrail_pattern_ba
TG-A2_multiscale_distill_seed42,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed42,0.7833333333333333,0.4792414100847836,0.6211786117446495,True,0.6819444444444445,0.7029280991545143,0.45228502359848044,0.8579783661084474,0.49697248762518703,0.838811294095847
TG-A2_multiscale_distill_seed43,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed43,0.8236111111111112,0.6050267737617135,0.6647084571612873,True,0.3888888888888889,0.7003017946414173,0.5999309312766201,0.838811294095847,0.41376194313341774,0.7213999490422255
TG-A2_multiscale_distill_seed44,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed44,0.6722222222222223,0.5027825002833504,0.6728292671688898,False,,,0.5226200069068724,0.8151275102494614,,
TG-A2_three_seed_summary,"A2 stability summary over seeds 42, 43, 44",0.7597222222222223,,,2/3,,,0.524945320593991,,,
severity_salvage_selection,severity frozen-feature models,,,,not_applicable,,,,,,
