model_name,family,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,no_ulcer_recall,ulcer_leq_25pct_recall,ulcer_leq_50pct_recall,ulcer_geq_75pct_recall,central_ulcer_recall,worst_class_recall,top_confusion,beats_rule,beats_prior_reference
rule,rule,0.25,0.10524852438645542,0.17592592592592593,0.3050515376096771,0.16820064345260313,0.13344202376179481,0.7142857142857143,0.3333333333333333,0.0,0.09302325581395349,0.38461538461538464,0.0,ulcer_geq_75pct->central_ulcer (19),False,False
logreg,linear,0.30564102564102563,0.1996575579384296,0.2222222222222222,0.2801737797086634,0.21528441537634038,0.2224001030290083,0.7142857142857143,0.06666666666666667,0.13333333333333333,0.2558139534883721,0.23076923076923078,0.06666666666666667,ulcer_geq_75pct->ulcer_leq_50pct (10),False,False
mlp,neural,0.16367521367521368,0.12447163515016686,0.3425925925925926,0.18883720930232556,0.1553063514746369,0.2637151203245454,0.0,0.06666666666666667,0.13333333333333333,0.7441860465116279,0.0,0.0,ulcer_leq_50pct->ulcer_geq_75pct (25),False,False
hgb_fallback,tree_fallback,0.3017094017094017,0.3007499407941478,0.37037037037037035,0.3279649033137405,0.3327291324180098,0.3536161094496589,0.5714285714285714,0.13333333333333333,0.3,0.5581395348837209,0.07692307692307693,0.07692307692307693,ulcer_leq_50pct->ulcer_geq_75pct (17),True,False
