experiment_tag,experiment_name,family,status,notes,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,type0_recall,type1_recall,type2_recall,type3_recall,type4_recall,worst_class_recall,pattern_test_balanced_accuracy,pattern_ba_delta_vs_official,has_guardrail_checkpoint,guardrail_test_balanced_accuracy,guardrail_test_macro_f1,guardrail_pattern_test_balanced_accuracy,guardrail_pattern_ba_delta_vs_official,best_val_epoch_unrestricted,best_val_tg_ba_unrestricted,best_val_pattern_ba_unrestricted,best_val_epoch_guardrail,best_val_tg_ba_guardrail,best_val_pattern_ba_guardrail
TG-A1_probe_pre_distill,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_v1__holdout_v1__seed42,main,completed,Warm-started structured TG rescue without pattern distillation; kept as pre-distill probe only.,0.4444444444444444,0.3898238747553816,0.22887720974677492,0.4780379041248607,1.0,0.0,0.42857142857142855,0.0,0.5205479452054794,0.0,0.5629328515507378,-0.28525930558450874,False,,,,,1,0.5138888888888888,0.6090953072085147,,,
TG-A1_serious_distill,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_distill_v1__holdout_v1__seed42,main,completed,"Structured TG with pattern distillation, no multiscale.",0.7777777777777778,0.5102336825141015,0.4920219355347773,0.7857277287545168,0.7142857142857143,0.6470588235294118,0.2857142857142857,0.0,0.9041095890410958,0.0,0.7914437264030759,-0.05674843073217062,False,,,,,5,0.7583333333333334,0.6899232842629069,,,
TG-A2_multiscale_distill_seed42,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed42,main,completed,TG-only multiscale plus pattern distillation; only main rung with a guardrail-valid validation checkpoint.,0.7870370370370371,0.45228502359848044,0.4601227601227601,0.7811744895078228,0.42857142857142855,0.5882352941176471,0.2857142857142857,0.0,0.958904109589041,0.0,0.8579783661084474,0.009786208973200816,True,0.49697248762518703,0.4499971169924465,0.838811294095847,-0.009380863039399556,5,0.7833333333333333,0.6211786117446495,4,0.6819444444444445,0.7029280991545143
TG-A3_punctate_seed42,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_punctate_distill_v1__holdout_v1__seed42,main,completed,Multiscale plus punctate-aware sampler.,0.7870370370370371,0.45228502359848044,0.45948777880994485,0.7699673905523795,0.5714285714285714,0.5882352941176471,0.14285714285714285,0.0,0.958904109589041,0.0,0.83364602876798,-0.014546128367266542,False,,,,,8,0.7625,0.6211210173474324,,,
TG-A4_t3smooth_seed42,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_punctate_t3smooth_distill_v1__holdout_v1__seed42,main,completed,Multiscale plus punctate-aware sampler plus T3 smoothing.,0.7870370370370371,0.45228502359848044,0.45948777880994485,0.7699673905523795,0.5714285714285714,0.5882352941176471,0.14285714285714285,0.0,0.958904109589041,0.0,0.8592870544090055,0.011094897273759008,False,,,,,8,0.7652777777777777,0.6211210173474324,,,
TG-A2_multiscale_distill_seed43,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed43,stability,completed,A2 stability seed 43.,0.8148148148148148,0.5999309312766201,0.561765584173199,0.8137155585970441,0.8571428571428571,0.8235294117647058,0.42857142857142855,0.0,0.8904109589041096,0.0,0.838811294095847,-0.009380863039399556,True,0.41376194313341774,0.39796173330215884,0.7213999490422255,-0.12679220809302105,8,0.8236111111111112,0.6647084571612873,1,0.3888888888888889,0.7003017946414173
TG-A2_multiscale_distill_seed44,tg5_pattern3__convnextv2_tiny__cornea_crop_scale_v1__tg_rescue_structured_multiscale_distill_v1__holdout_v1__seed44,stability,completed,A2 stability seed 44.,0.7407407407407407,0.5226200069068724,0.47713529856387,0.7293591304834691,0.7142857142857143,0.29411764705882354,0.7142857142857143,0.0,0.8904109589041096,0.0,0.8151275102494614,-0.03306464688578514,False,,,,,4,0.6722222222222223,0.6728292671688898,,,
